brain_code	main	species	long_1	short_1	long_2	short_2	long_3	short_3
B2.11	lateral parabrachial nucleus, dorsal part	Mouse	lateral parabrachial nucleus, dorsal part	LPBD	lateral parabrachial nucleus, dorsal part	LPBD	LPBdl	
B2.12	lateral parabrachial nucleus; external part	Mouse	lateral parabrachial nucleus; external part	LPBE	lateral parabrachial nucleus, external part	LPBE	LPBel	
B7	lateral hypothalamic area	Mouse	lateral hypothalamic area	LH	lateral hypothalamic area	LH		
B9	dentate gyrus	Mouse	dentate gyrus	DG	dentate gyrus	DG		
B10.1	central amygdaloid nucleus	Mouse	central amygdaloid nucleus	Ce	central amygdaloid nucleus	Ce	CeA	
B10.3	medial amygdaloid nucleus	Mouse	medial amygdaloid nucleus	Me	medial amygdaloid nucleus	Me	MeAmy	
B10.31	medial amygdaloid nucleus, anterodorsal	Mouse	medial amygdaloid nucleus, anterodorsal	MeAD	medial amygdaloid nucleus, anterior part	MeA	anterior part of medial amygdaloid nucleus	
B10.32	medial amygdaloid nucleus, posterodorsal part	Mouse	medial amygdaloid nucleus, posterodorsal part	MePD	medial amygdaloid nucleus, posterodorsal part	MePD	MeApd	
B10.33	medial amygdaloid nucleus, posteroventral part	Mouse	medial amygdaloid nucleus, posteroventral part	MePV	medial amygdaloid nucleus, posteroventral part	MePV	MePV Posteroventral Medial Amygdala	
B11.1	ventromedial hypothalamic nucleus, dorsomedial part	Mouse	ventromedial hypothalamic nucleus, dorsomedial part	VMHDM	ventromedial hypothalamic nucleus, dorsomedial part	VMHDM	dorsomedial part of the ventromedial hypothalamic nucleus (VMHDM)	
B11.2	ventromedial hypothalamic nucleus, ventrolateral part	Mouse			ventromedial hypothalamic nucleus, ventrolateral part	VMHVL	VMHvl	
B12.1	premammillary nucleus, dorsal part	Mouse	premammillary nucleus, dorsal part	PMD	premammillary nucleus, dorsal part	PMD	dorsal premammillary nucleus	PMD
B12.2	premammillary nucleus, ventral part	Mouse	premammillary nucleus, ventral part	PMV	premammillary nucleus, ventral part	PMV	PMv，Ventral premammilary nucleus	
B13	piriform cortex	Mouse	piriform cortex	Pir	piriform cortex	Pir		
B14	cingulum	Mouse	cingulum	cg	cingulate cortex	Cg		
B14.1	cingulate cortex; area 1	Mouse			cingulate cortex; area 1	Cg1		
B15	locus coeruleus	Mouse	locus coeruleus	LC	locus coeruleus	LC		
B16	paraventricular thalamic nucleus	Mouse	paraventricular thalamic nucleus	PV	paraventricular thalamic nucleus	PV		
B18	lateral septal nucleus	Mouse	lateral septal nucleus	LS				
B18.1	lateral septal nucleus, dorsal part	Mouse	lateral septal nucleus, dorsal part	LSD	lateral septal nucleus, dorsal part	LSD	dorsal part of lateral septal nucleus	
B18.2	lateral septal nucleus, ventral part	Mouse	lateral septal nucleus, ventral part	LSV	lateral septal nucleus, ventral part	LSV	ventral part of lateral septal nucleus	
B19	bed nucleus of the stria terminalis	Mouse	bed nucleus of the stria terminalis	ST	bed nucleus of the stria terminalis	ST		
B19.1	bed nucleus of the stria terminalis; lateral division; ventral part	Mouse	bed nucleus of the stria terminalis; lateral division; ventral part	STLV	bed nucleus of the stria terminalis; lateral division; ventral part	STLV	bed nucleus of the stria terminalis, ventral	BNST-V
B19.2	bed nucleus of the stria terminalis; medial division; ventral part	Mouse	bed nucleus of the stria terminalis; medial division; ventral part	STMV	bed nucleus of the stria terminalis; medial division; ventral part	STMV	bed nucleus of the stria terminalis, ventral	BNST-V
B20	paraventricular hypothalamic nucleus	Mouse	paraventricular hypothalamic nucleus	Pa	paraventricular hypothalamic nucleus	Pa		
B20.2	paraventricular hypothalamic nucleus, posterior part	Mouse	paraventricular hypothalamic nucleus, posterior part	PaPo	paraventricular hypothalamic nucleus, posterior part	PaPo		
B20.3	paraventricular hypothalamic nucleus,ventral part	Mouse	paraventricular hypothalamic nucleus,ventral part	PaV	paraventricular hypothalamic nucleus,ventral part	PaV		
