brain_code	main	species	"规范名全称(Paxinos & Franklin, 2013 )"	简称	"同义词全称（Mouse brain_Franklin & Paxinos,2007）"	简称	其他同义词	简称
B35	anterior olfactory area external part	Mouse	anterior olfactory area external part	AOE	anterior olfactory area external part	AOE	anterior olfactory nucleus	
B36	anteroventral thalamic nucleus	Mouse	anteroventral thalamic nucleus	AV	anteroventral thalamic nucleus	AV		
B37	caudate putamen (striatum)	Mouse	caudate putamen (striatum)	Cpu	caudate putamen (striatum)	Cpu		
B38	Central gray	Mouse	Central gray	CG	Central gray	CG		
B39	claustrum	Mouse	claustrum	cl	claustrum	CI		
B40	cortex-amygdala transition zone	Mouse	cortex-amygdala transition zone	CxA	cortex-amygdala transition zone	CxA		
B41	dorsal nucleus of the lateral lemniscus	Mouse	dorsal nucleus of the lateral lemniscus	DLL	dorsal nucleus of the lateral lemniscus	DLL		
B42	dorsal raphe nucleus	Mouse	dorsal raphe nucleus	DR	dorsal raphe nucleus	DR		
B43	external cuneate nucleus	Mouse	external cuneate nucleus	ECu	external cuneate nucleus	ECu		
B44	field CA3 of the hippocampus	Mouse	field CA3 of the hippocampus	CA3	field CA3 of the hippocampus	CA3		
B45	gracile nucleus	Mouse	gracile nucleus	Gr	gracile nucleus	Gr		
B46	granule cell layer of the accessory olfactory bulb	Mouse	granule cell layer of the accessory olfactory bulb	GrA	granule cell layer of the accessory olfactory bulb	GrA	"granular cell layer,accessory olfactory bulb"	
B47	Inferior colliculus	Mouse			Inferior colliculus	IC		
B49	lateral preoptic area	Mouse	lateral preoptic area	LPO	lateral preoptic area	LPO		
B50	laterodorsal tegmental nucleus	Mouse	laterodorsal tegmental nucleus	LDTg	laterodorsal tegmental nucleus	LDTg	LDT	
B51	medial preoptic area	Mouse	medial preoptic area	MPA	medial preoptic area	MPA		
B52.1	"medial preoptic nucleus, medial part"	Mouse	"medial preoptic nucleus, medial part"	MPOM	"medial preoptic nucleus, medial part"	MPOM		
B53	medial vestibular nucleus	Mouse	medial vestibular nucleus	MVe	medial vestibular nucleus	MVe		
B54	mitral cell layer of the accessory olfactory bulb	Mouse	mitral cell layer of the accessory olfactory bulb	MiA	mitral cell layer of the accessory olfactory bulb	MiA	"mitral cell layer, accessory olfactory bulb"	
B55	parafascicular thalamic nucleus	Mouse	parafascicular thalamic nucleus	PaF	parafascicular thalamic nucleus	PF	parafascicular nucleus	
B56	pontine nuclei	Mouse	pontine nuclei	Pn	pontine nuclei	Pn		
B57	prepositus nucleus	Mouse	prepositus nucleus	Pr	prepositus nucleus	Pr		
B58	spinal vestibular nucleus	Mouse	spinal vestibular nucleus	SpVe	spinal vestibular nucleus	SpVe		
B58.1	superior vestibular nucleus	Mouse			superior vestibular nucleus	SuVe		
B59	superior colliculus	Mouse	superior colliculus	SC	superior colliculus	SC		
B60	ventral cochlear nucleus	Mouse	ventral cochlear nucleus	VC	ventral cochlear nucleus	VC		
B61	"ventral tegmental area, rostral part"	Mouse	"ventral tegmental area, rostral part"	VTAR	ventral tegmental area	VTA		
B62	lateral habenular nucleus	Mouse	lateral habenular nucleus	LHb	lateral habenular nucleus	LHb		
B63	dorsal horn	Mouse			dorsal horn	DH		
B64	diagonal band of Broca	Mouse			diagonal band of Broca	DBB		
B65	Insular cortex	Mouse			Insular cortex	insula	insular cortex	IC
B66	ventromedial thalamic nucleus x	Mouse	ventromedial thalamic nucleus x	VM	ventromedial thalamic nucleus	VM		
B67	medial tuberal nucleus	Mouse	medial tuberal nucleus	MTu	medial tuberal nucleus	MTu		
B68	prelimbic cortex	Mouse			prelimbic cortex	PrL		
B69	infralimbic cortex	Mouse			infralimbic cortex	IL		
B71	prefrontal cortex	Mouse	prefrontal cortex	PFC	prefrontal cortex	PFC		
B71.1	medial prefrontal cortex	Mouse	medial prefrontal cortex	mPFC	medial prefrontal cortex	mPFC		
B73	supraoptic nucleus	Mouse	supraoptic nucleus	SO	supraoptic nucleus	SO		
